ChIP-seq,DNase-seq,polyA RNA-seq,shRNA RNA-seq,total RNA-seq,eCLIP,DNAme array,small RNA-seq,WGBS,microRNA-seq,ATAC-seq,RNA microarray,RAMPAGE,RNA Bind-n-Seq,genotyping array,CAGE,microRNA counts,siRNA RNA-seq,Repli-seq,RRBS,...and 25more
GM12870,1,,,,,,,,,,,,,,,,,,,
GM12871,1,,,,,,,,,,,,,,,,,,,
GM20431,,,,,,,,,,,,,,,,,,,,
HAP-1,,1,,,,,,,,,,,,,,,,,,
HCEC 1CT,,1,,,,,,,,,,,,,,,,,,
HFFc6,,1,,,,,,,,,,,,,,,,,,
HK-2,,1,,,,,,,,,,,,,,,,,,
HS-27A,,1,,,,,,,,,,,,,,,,,,
HS-5,,1,,,,,,,,,,,,,,,,,,
HT-1197,,,,,,,,,,,,,,,,,,,,
HT-1376,,,,,,,,,,,,,,,,,,,,
J185a,,,,,,,,,,,,,,,,,,,,
K1,,,,,,,,,,,,,,,,,,,,
KBM-7,,1,,,,,,,,,,,,,,,,,,
KU-19-19,,,,,,,,,,,,,,,,,,,,
L-1210 cell,,,,,,,,,,,,,,,,,,,,
L1-S8,,1,,,,,,,,,,,,,,,,,,
L1-S8R,,1,,,,,,,,,,,,,,,,,,
LoVo,,1,,,,,,,,,,,,,,,,,,
MEL-GATA-1-ER,,1,,,,,,,,,,,,,,,,,,
ML-DmD20-c2,,,,,1,,,,,,,,,,,,,,,
MSLCL,,,,,,,,,,,,,,,,,,,,
MSiPS,,,,,,,,,,,,,,,,,,,,
Mel-2183,,,,,,,,,,,,1,,,,,,,,
NC-NC,,,,,,,,,,,,,,,,,,,,
NCI-H1437,,,,,,,,,,,,,,,,,,,,
NCI-H226,,1,,,,,,,,,,,,,,,,,,
OSC,,,1,,,,,,,,,,,,,,,,,
OSS,,,1,,,,,,,,,,,,,,,,,
RKO,,1,,,,,,,,,,,,,,,,,,
RPMI8226,,1,,,,,,,,,,,,,,,,,,
SU-DHL-2,,,,,,,,,,,,,,,,,,,,
SU-DHL-4,,,,,,,,,,,,,,,,,,,,
SW480,,1,,,,,,,,,,,,,,,,,,
TT2,,,,,,,,,,,,,,,,,,,,
TTC549,,,,,,,,,,,,,,,,,,,,
fGS/OSS,,,1,,,,,,,,,,,,,,,,,
hFib2-iPS4,,,,,,,,,,,,,,,,,,,,
hTERT-HME1,,,,,,,,,,,,,,,,,,,,
iPS DF 19.7,,1,,,,,,,,,,,,,,,,,,
iPS DF 4.7,,1,,,,,,,,,,,,,,,,,,
iPS-5,,,,,,,,,,,,,,,,,,,,
